epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,501.302,1.73221,0.68686,0.00225,0.78271,0.62149,0.67732,0.28628,2.42814,1.06467,0.00264,0.000957358,0.000957358,0.000957358
131,505.567,1.73722,0.76721,0.00225,0.75827,0.60926,0.673,0.29099,2.33874,1.09908,0.00256,0.000951857,0.000951857,0.000951857
132,509.075,1.78244,0.81999,0.00206,0.72145,0.64779,0.67492,0.29445,2.3505,1.08475,0.00251,0.000946356,0.000946356,0.000946356
133,512.548,1.66386,0.63909,0.0028,0.69655,0.65743,0.65476,0.29073,2.36154,1.05421,0.00245,0.000940855,0.000940855,0.000940855
134,516.848,1.87715,0.7411,0.00263,0.79114,0.62562,0.68584,0.29602,2.29748,1.04292,0.0024,0.000935354,0.000935354,0.000935354
135,520.495,1.78469,0.80177,0.00211,0.76128,0.62055,0.66768,0.28216,2.3906,1.12706,0.00248,0.000929853,0.000929853,0.000929853
136,523.867,1.81359,0.73653,0.00218,0.82331,0.60315,0.65591,0.27552,2.41981,1.14518,0.00246,0.000924352,0.000924352,0.000924352
137,527.354,1.84925,0.72728,0.00242,0.84501,0.54271,0.61954,0.25694,2.39544,1.20419,0.00245,0.00091885,0.00091885,0.00091885
138,531.626,1.75852,0.74146,0.00229,0.84408,0.59124,0.63667,0.26347,2.38261,1.21204,0.00244,0.000913349,0.000913349,0.000913349
139,535.038,1.79437,0.75368,0.00196,0.90379,0.60613,0.67953,0.28349,2.36246,1.1603,0.00255,0.000907848,0.000907848,0.000907848
140,538.416,1.82084,0.74913,0.00214,0.86344,0.61085,0.66941,0.29536,2.32973,1.15979,0.00249,0.000902347,0.000902347,0.000902347
141,542.633,1.74405,0.78153,0.0023,0.77925,0.62488,0.65953,0.28848,2.30354,1.12029,0.00236,0.000896846,0.000896846,0.000896846
142,546.196,1.80653,0.74879,0.00221,0.71779,0.607,0.64116,0.27515,2.31069,1.14366,0.00237,0.000891345,0.000891345,0.000891345
143,549.584,1.70908,0.76873,0.00248,0.77975,0.61085,0.63499,0.28023,2.31737,1.20231,0.00236,0.000885844,0.000885844,0.000885844
144,552.978,1.69873,0.74225,0.00215,0.82576,0.57647,0.65082,0.28744,2.31796,1.19602,0.00236,0.000880343,0.000880343,0.000880343
145,557.359,1.80023,0.74576,0.00241,0.87699,0.59887,0.65717,0.29669,2.30356,1.15456,0.00236,0.000874842,0.000874842,0.000874842
146,560.805,1.68919,0.67573,0.00204,0.84044,0.60022,0.66595,0.27574,2.31163,1.14201,0.00238,0.00086934,0.00086934,0.00086934
147,564.17,1.75113,0.76995,0.00182,0.86984,0.57801,0.67552,0.26842,2.38071,1.12675,0.00248,0.000863839,0.000863839,0.000863839
148,568.053,1.78863,0.71309,0.00204,0.84328,0.57564,0.68172,0.27105,2.39548,1.15992,0.00249,0.000858338,0.000858338,0.000858338
149,571.909,1.7772,0.66279,0.00195,0.76431,0.61764,0.66869,0.27652,2.38389,1.19615,0.00255,0.000852837,0.000852837,0.000852837
150,575.298,1.72907,0.71718,0.00233,0.79393,0.62488,0.67519,0.28259,2.36009,1.18744,0.00252,0.000847336,0.000847336,0.000847336
151,578.694,1.67322,0.66037,0.00214,0.77716,0.65002,0.67511,0.27134,2.42777,1.15763,0.00261,0.000841835,0.000841835,0.000841835
152,582.982,1.84335,0.75864,0.00195,0.81943,0.65209,0.69156,0.27084,2.43967,1.12003,0.00261,0.000836334,0.000836334,0.000836334
153,586.423,1.67633,0.68707,0.00234,0.82808,0.65726,0.70132,0.29077,2.36414,1.11459,0.00246,0.000830833,0.000830833,0.000830833
154,589.768,1.64296,0.67823,0.0024,0.81128,0.64277,0.68922,0.29487,2.32631,1.12298,0.00237,0.000825332,0.000825332,0.000825332
155,593.321,1.65514,0.67768,0.00206,0.88946,0.58912,0.67491,0.31733,2.26918,1.15863,0.00234,0.000819831,0.000819831,0.000819831
156,597.507,1.80483,0.6659,0.0019,0.85641,0.60137,0.68028,0.32298,2.22201,1.1536,0.00234,0.000814329,0.000814329,0.000814329
157,600.983,1.64519,0.7311,0.00188,0.85897,0.58912,0.68995,0.31137,2.25903,1.09861,0.0024,0.000808828,0.000808828,0.000808828
158,604.361,1.67765,0.70156,0.00214,0.7534,0.64079,0.6984,0.29717,2.31525,1.0548,0.00246,0.000803327,0.000803327,0.000803327
159,608.662,1.74709,0.7297,0.00198,0.82737,0.62122,0.70474,0.30107,2.30886,1.05738,0.00244,0.000797826,0.000797826,0.000797826
160,612.089,1.63615,0.70405,0.00218,0.78847,0.62149,0.69822,0.29235,2.31976,1.06688,0.00238,0.000792325,0.000792325,0.000792325
161,615.632,1.65744,0.6699,0.00201,0.67246,0.62087,0.65607,0.28782,2.30711,1.02729,0.00228,0.000786824,0.000786824,0.000786824
162,618.99,1.69362,0.66924,0.00207,0.71123,0.59297,0.6427,0.29012,2.30383,1.01172,0.00225,0.000781323,0.000781323,0.000781323
163,623.257,1.63858,0.63494,0.00191,0.8572,0.61632,0.69331,0.30684,2.22896,1.03551,0.00217,0.000775822,0.000775822,0.000775822
164,626.593,1.63759,0.6615,0.00198,0.86034,0.61764,0.70781,0.30926,2.20871,1.03322,0.00217,0.000770321,0.000770321,0.000770321
165,629.988,1.79267,0.71216,0.00175,0.85912,0.61764,0.67737,0.30095,2.19518,1.10711,0.0022,0.00076482,0.00076482,0.00076482
166,634.031,1.61322,0.62132,0.00185,0.81205,0.63552,0.6775,0.28728,2.22958,1.15848,0.00229,0.000759318,0.000759318,0.000759318
167,637.794,1.62472,0.6132,0.00231,0.81,0.65118,0.67019,0.26466,2.33542,1.16896,0.0025,0.000753817,0.000753817,0.000753817
168,641.24,1.59155,0.62478,0.00198,0.77088,0.66405,0.67357,0.2681,2.34294,1.14622,0.00248,0.000748316,0.000748316,0.000748316
169,644.732,1.6548,0.60374,0.00204,0.75378,0.6061,0.63833,0.27234,2.34789,1.15281,0.0024,0.000742815,0.000742815,0.000742815
170,649.126,1.69545,0.70286,0.00174,0.74394,0.61423,0.64347,0.28319,2.29669,1.16108,0.00235,0.000737314,0.000737314,0.000737314
171,652.554,1.73393,0.66809,0.00208,0.80867,0.62488,0.68065,0.29045,2.27557,1.12135,0.00229,0.000731813,0.000731813,0.000731813
172,655.922,1.73311,0.66905,0.00167,0.84554,0.56327,0.67167,0.28487,2.28221,1.18119,0.00229,0.000726312,0.000726312,0.000726312
173,659.943,1.68602,0.62051,0.00202,0.75473,0.59264,0.65234,0.27335,2.29629,1.17949,0.00235,0.000720811,0.000720811,0.000720811
174,663.628,1.71936,0.64982,0.00228,0.74795,0.58232,0.6507,0.2831,2.27232,1.16514,0.0023,0.00071531,0.00071531,0.00071531
175,667.067,1.72659,0.67607,0.00183,0.82085,0.56632,0.65758,0.29677,2.19598,1.17787,0.00217,0.000709809,0.000709809,0.000709809
176,670.481,1.65278,0.67079,0.00216,0.77091,0.58912,0.66182,0.29242,2.21892,1.16141,0.00219,0.000704307,0.000704307,0.000704307
177,674.834,1.77399,0.65258,0.00191,0.76584,0.607,0.66342,0.28964,2.27303,1.13499,0.00226,0.000698806,0.000698806,0.000698806
178,678.239,1.6906,0.6078,0.00209,0.82837,0.60566,0.66387,0.29658,2.30566,1.12451,0.00231,0.000693305,0.000693305,0.000693305
179,681.668,1.64249,0.62719,0.00203,0.79972,0.62149,0.65562,0.28257,2.3833,1.12969,0.0024,0.000687804,0.000687804,0.000687804
